date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:05	4079/4079	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Dec%202020%2010:14:03%20GMT	https://preview.colorlib.com/theme/bootstrap/dropdown-18/	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/index.html	(from )
11:23:05	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
11:23:06	79820/79820	---MCZ	200	added ('OK')	text/css	etag:W/%22137cc-5b60551409eca-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/style.css	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/style.css	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:06	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22d17-5b6055099916f-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/css/owl.carousel.min.css	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:07	216725/216725	---MCZ	200	added ('OK')	text/css	etag:W/%2234e95-5b60550922ed2-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/css/bootstrap.min.css	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:07	3848/3848	---MCZ	200	added ('OK')	text/css	etag:W/%22f08-5b60550a180ac-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/css/style.css	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/css/style.css	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:08	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Mon,%2013%20Mar%202023%2004:23:07%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:09	86926/86926	---MCZ	200	added ('OK')	application/javascript	etag:W/%221538e-5b60551b0ec9b-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/js/jquery-3.3.1.min.js	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/js/jquery-3.3.1.min.js	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:09	285512/285512	---M--	200	added ('OK')	image/jpeg	etag:%2245b48-5b605517896d2%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/images/person_2.jpg	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/images/person_2.jpg	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:09	21003/21003	---MCZ	200	added ('OK')	application/javascript	etag:W/%22520b-5b60551bfe0b5-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/js/popper.min.js	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/js/popper.min.js	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:09	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2d8-5b60551ae6bfc-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/js/bootstrap.min.js	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:10	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad36-5b60551ba9157-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/js/owl.carousel.min.js	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:10	337/337	---MCZ	200	added ('OK')	application/javascript	etag:W/%22151-5b60551b764d8-gzip%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/js/main.js	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/js/main.js	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/)
11:23:11	307332/307332	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%224b084-5b60550f96487%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon.eot?10si43	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon1a44.eot	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/style.css)
11:23:13	307168/307168	---MCZ	200	added ('OK')	font/ttf	etag:W/%224afe0-5b6055116819b%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon.ttf?10si43	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon1a44.ttf	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/style.css)
11:23:14	307244/307244	---M--	200	added ('OK')	font/woff	etag:%224b02c-5b605512ead11%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon.woff?10si43	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon1a44.woff	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/style.css)
11:23:14	2253/2253	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Mar%202023%2004:23:14%20GMT	https://preview.colorlib.com/theme/bootstrap/dropdown-18/css/owl.video.play.png	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/css/owl.video.play.f.delayed	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/css/owl.carousel.min.css)
11:23:14	935341/935341	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e45ad-5b605511ff777%22	https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon.svg?10si43	C:/My%20Web%20Sites/dropdown/preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/fonts/icomoon1a44.svg	(from https://preview.colorlib.com/theme/bootstrap/dropdown-18/fonts/icomoon/style.css)
