date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:15:13	4218/4218	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2001:51:58%20GMT	https://affixtheme.com/html/xmee/demo/login-5.html	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/login-5.html	(from )
09:15:14	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:15:14%20GMT	https://affixtheme.com/robots.txt		(from )
09:15:14	431/431	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/img/favicon.png	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/img/favicon.png	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:15	163873/163873	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Nov%202021%2023:33:52%20GMT	https://affixtheme.com/html/xmee/demo/css/bootstrap.min.css	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/css/bootstrap.min.css	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:16	190289/190289	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:16	1674/1674	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/flaticon.css	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/font/flaticon.css	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:17	70587/70587	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Dec%202020%2004:16:16%20GMT	https://affixtheme.com/html/xmee/demo/img/figure/bg5-l.jpg	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/img/figure/bg5-l.jpg	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:18	835/835	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Dec%202020%2004:16:16%20GMT	https://affixtheme.com/html/xmee/demo/img/logo-5.png	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/img/logo-5.png	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:18	402138/402138	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2023:08:48%20GMT	https://affixtheme.com/html/xmee/demo/style.css	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/style.css	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:18	4473/4473	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2001:52:00%20GMT	https://affixtheme.com/html/xmee/demo/register-5.html	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/register-5.html	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:18	3627/3627	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2001:51:58%20GMT	https://affixtheme.com/html/xmee/demo/forgot-password-5.html	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/forgot-password-5.html	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:19	129057/129057	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:19	59219/59219	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Nov%202021%2023:33:54%20GMT	https://affixtheme.com/html/xmee/demo/js/bootstrap.min.js	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/js/bootstrap.min.js	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:20	6983/6983	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:20	9309/9309	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/validator.min.js	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/js/validator.min.js	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:20	2470/2470	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2006%20Nov%202021%2005:24:56%20GMT	https://affixtheme.com/html/xmee/demo/js/main.js	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/js/main.js	(from https://affixtheme.com/html/xmee/demo/login-5.html)
09:15:22	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
09:15:24	72148/72148	---M--	200	added ('OK')	font/woff2	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
09:15:25	84568/84568	---M--	200	added ('OK')	font/woff	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
09:15:25	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Feb%202023%2002:15:25%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
09:15:26	125016/125016	---M--	200	added ('OK')	font/ttf	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/loginuser/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
